peak_id|peak_name|alt_names|longitude|latitude|dms_longitude|dms_latitude
1477924370|Pandim||88.2171707|27.5773177|88° 13′ 01.81452″ E|27° 34′ 38.34372″ N
1477924972|Simiolchu|Siniolchu|88.3182054|27.7108183|88° 19′ 05.53944″ E|27° 42′ 38.94588″ N
1518744167|Parchemuche||86.5472278|27.8377252|86° 32′ 50.02008″ E|27° 50′ 15.81072″ N
1679250333|Chukhung Ri||86.8792024|27.9253341|86° 52′ 45.12864″ E|27° 55′ 31.20276″ N
1781732628|Bhauda Himal||84.6768115|28.376229|84° 40′ 36.52140″ E|28° 22′ 34.42440″ N
1781744530|Himal Chuli||84.6366961|28.4377272|84° 38′ 12.10596″ E|28° 26′ 15.81792″ N
1782547419|Samdo Peak||84.6464476|28.670341|84° 38′ 47.21136″ E|28° 40′ 13.22760″ N
1834244001|Himdu Himal||84.5091872|28.7181871|84° 30′ 33.07392″ E|28° 43′ 05.47356″ N
1997498248|Crystal Mountain||82.9335059|29.3529196|82° 56′ 00.62124″ E|29° 21′ 10.51056″ N
2189872188|Kerang Tse|Chala Peak|81.5058477|29.9347076|81° 30′ 21.05172″ E|29° 56′ 04.94736″ N
2229189885|Saipal||81.4934831|29.8881313|81° 29′ 36.53916″ E|29° 53′ 17.27268″ N
2409407159|Saipal East|Tiger Top|81.5054784|29.8939177|81° 30′ 19.72224″ E|29° 53′ 38.10372″ N
2409407168|Liz Himal||81.5170226|29.9216022|81° 31′ 01.28136″ E|29° 55′ 17.76792″ N
2409407249|Rani Himal||81.5124957|29.9165574|81° 30′ 44.98452″ E|29° 54′ 59.60664″ N
2526429858|Cholotse|Jobo Lhaptshan,Cholatse|86.7648644|27.9190402|86° 45′ 53.51184″ E|27° 55′ 08.54472″ N
2526437540|Tawoche|Tawetse,Tobuche,Taboche,Tawache,Taweche|86.7793702|27.8973138|86° 46′ 45.73272″ E|27° 53′ 50.32968″ N
2637460419|Liglig||84.5266253|28.0624257|84° 31′ 35.85108″ E|28° 03′ 44.73252″ N
2642085739|Nilgiri North||83.7440554|28.689076|83° 44′ 38.59944″ E|28° 41′ 20.67360″ N
2642085747|Nilgiri Central||83.7353837|28.6783794|83° 44′ 07.38132″ E|28° 40′ 42.16584″ N
2662582253|Shivapuri Peak||85.3843627|27.8122473|85° 23′ 03.70572″ E|27° 48′ 44.09028″ N
2677892526|Changtse Peak||86.9151856|28.024329|86° 54′ 54.66816″ E|28° 01′ 27.58440″ N
2677892527|Cho Polu||86.9819868|27.9194539|86° 58′ 55.15248″ E|27° 55′ 10.03404″ N
2677892528|Khumbutse||86.872193|28.0219052|86° 52′ 19.89480″ E|28° 01′ 18.85872″ N
2677892529|Lhotse Shar||86.9437467|27.9587111|86° 56′ 37.48812″ E|27° 57′ 31.35996″ N
2677892530|Lingtren||86.8546651|28.0278017|86° 51′ 16.79436″ E|28° 01′ 40.08612″ N
2677892532|Shar Tse II|Peak 38|86.9646815|27.9556165|86° 57′ 52.85340″ E|27° 57′ 20.21940″ N
2677892533|Pumori||86.8273988|28.0160417|86° 49′ 38.63568″ E|28° 00′ 57.75012″ N
2677892534|Shartse||86.9829938|27.9494404|86° 58′ 58.77768″ E|27° 56′ 57.98544″ N
2683830785|Chumbu||86.7878294|28.0136395|86° 47′ 16.18584″ E|28° 00′ 49.10220″ N
2683857479|Lobuche||86.7816135|27.9691317|86° 46′ 53.80860″ E|27° 58′ 08.87412″ N
2685954298|Kali Himal|Baruntse|86.9796489|27.8720615|86° 58′ 46.73604″ E|27° 52′ 19.42140″ N
2686511084|Gauri Sankar||86.3345048|27.967351|86° 20′ 04.21728″ E|27° 58′ 02.46360″ N
2686686024|Hungchi||86.7597051|28.0346849|86° 45′ 34.93836″ E|28° 02′ 04.86564″ N
2687648806|Lhotse Middle||86.9386871|27.9607748|86° 56′ 19.27356″ E|27° 57′ 38.78928″ N
2687648807|Lhotse Nup||86.9309715|27.9614022|86° 55′ 51.49740″ E|27° 57′ 41.04792″ N
2689043822|Ngojumba Kang|Ngozumpa Kang I|86.6850856|28.1068465|86° 41′ 06.30816″ E|28° 06′ 24.64740″ N
2689043824|Ngozumpa Kang II||86.7054038|28.1058708|86° 42′ 19.45368″ E|28° 06′ 21.13488″ N
2689711574|Ngozumpa Tse||86.6838749|28.0177777|86° 41′ 01.94964″ E|28° 01′ 03.99972″ N
2689806446|Mera Peak||86.8686622|27.7098398|86° 52′ 07.18392″ E|27° 42′ 35.42328″ N
2720675800|Sandakphu||88.000482|27.1044365|88° 00′ 01.73520″ E|27° 06′ 15.97140″ N
2865346152|Ohampus Peak|Dhampus Peak,Thapa Peak|83.6064455|28.7979512|83° 36′ 23.20380″ E|28° 47′ 52.62432″ N
2881473816|Kartse||87.0042152|28.0328718|87° 00′ 15.17472″ E|28° 01′ 58.33848″ N
2881620364|Chamlang||86.98151|27.7772801|86° 58′ 53.43600″ E|27° 46′ 38.20836″ N
2883814653|Bharha Chuli|Annapurna Fang|83.800725|28.5783028|83° 48′ 02.61000″ E|28° 34′ 41.89008″ N
2883814654|Roc Noir|Khangsar Kang|83.8629012|28.6108141|83° 51′ 46.44432″ E|28° 36′ 38.93076″ N
2883814670|Glacier Dome|Tarke Kang|83.886437|28.6073547|83° 53′ 11.17320″ E|28° 36′ 26.47692″ N
2902740258|Naulekh||86.9024898|27.6875828|86° 54′ 08.96328″ E|27° 41′ 15.29808″ N
2904495697|Makalu II|Kangchungtse|87.0804271|27.9140498|87° 04′ 49.53756″ E|27° 54′ 50.57928″ N
2904495698|Makalu Southeast||87.0995612|27.8791784|87° 05′ 58.42032″ E|27° 52′ 45.04224″ N
2904495699|Pethangtse||87.0152042|27.957236|87° 00′ 54.73512″ E|27° 57′ 26.04960″ N
2904629928|Chomo Lonzo||87.1075096|27.9300846|87° 06′ 27.03456″ E|27° 55′ 48.30456″ N
2906971419|Numbur||86.572647|27.7542227|86° 34′ 21.52920″ E|27° 45′ 15.20172″ N
2908665203|Melungtse||86.4330115|27.9720795|86° 25′ 58.84140″ E|27° 58′ 19.48620″ N
2935179265|Lamjung Himal||84.1886093|28.4895076|84° 11′ 18.99348″ E|28° 29′ 22.22736″ N
2935179295|Gandharba Chull||83.9598372|28.5391691|83° 57′ 35.41392″ E|28° 32′ 21.00876″ N
2935181986|Annapurna III||83.9891091|28.5853509|83° 59′ 20.79276″ E|28° 35′ 07.26324″ N
2935182022|Gangapurna||83.9635144|28.605655|83° 57′ 48.65184″ E|28° 36′ 20.35800″ N
2935202256|Tent Peak|Tharpu Chull|83.8894197|28.5619937|83° 53′ 21.91092″ E|28° 33′ 43.17732″ N
2950781581|Nangkartshang||86.8354796|27.9054758|86° 50′ 07.72656″ E|27° 54′ 19.71288″ N
2950781582|Pokalde||86.8331902|27.9247682|86° 49′ 59.48472″ E|27° 55′ 29.16552″ N
2966471204|Annapurna IV||84.0835623|28.5368932|84° 05′ 00.82428″ E|28° 32′ 12.81552″ N
2967492268|Talung||88.1301939|27.6548025|88° 07′ 48.69804″ E|27° 39′ 17.28900″ N
3017155224|Fluted Peak|Singu Chull|83.8815063|28.5894888|83° 52′ 53.42268″ E|28° 35′ 22.15968″ N
3020675421|Outpost||88.9394881|27.3007199|88° 56′ 22.15716″ E|27° 18′ 02.59164″ N
3079038633|Syanath||82.5568945|29.6216477|82° 33′ 24.82020″ E|29° 37′ 17.93172″ N
3120550378|Nangpa Og||86.4741821|27.7309459|86° 28′ 27.05556″ E|27° 43′ 51.40524″ N
3120550379|Nangpa Teng||86.473303|27.7352038|86° 28′ 23.89080″ E|27° 44′ 06.73368″ N
3134662214|Baramji||86.3278995|27.7329336|86° 19′ 40.43820″ E|27° 43′ 58.56096″ N
3134713323|Pike|Pikey Peak Gole|86.4795066|27.5337493|86° 28′ 46.22376″ E|27° 32′ 01.49748″ N
3213654115|Pt 6465||86.6112098|27.7340748|86° 36′ 40.35528″ E|27° 44′ 02.66928″ N
3213674431|Yalung Ri||86.4135972|27.8523144|86° 24′ 48.94992″ E|27° 51′ 08.33184″ N
3213674432|Yalung Ri||86.4114542|27.8536839|86° 24′ 41.23512″ E|27° 51′ 13.26204″ N
3213793822|Chomo Yummo||88.5458607|28.0341136|88° 32′ 45.09852″ E|28° 02′ 02.80896″ N
3213793823|Chorten Nyima Ri||88.1777457|27.9503621|88° 10′ 39.88452″ E|27° 57′ 01.30356″ N
3215562631|Gonglha||86.7818301|27.696371|86° 46′ 54.58836″ E|27° 41′ 46.93560″ N
3356997369|Yebokangal Ri||85.7754202|28.3720824|85° 46′ 31.51272″ E|28° 22′ 19.49664″ N
3357006182|Risum||85.7229588|28.3729401|85° 43′ 22.65168″ E|28° 22′ 22.58436″ N
3357006199|Nyanang Ri||85.8069213|28.3090933|85° 48′ 24.91668″ E|28° 18′ 32.73588″ N
3357006200|Pungpa Ri||85.7945751|28.333721|85° 47′ 40.47036″ E|28° 20′ 01.39560″ N
3366750550|Kapkot||81.2190459|29.9208018|81° 13′ 08.56524″ E|29° 55′ 14.88648″ N
3366773716|Jethi Bahurani||81.0393354|29.8806741|81° 02′ 21.60744″ E|29° 52′ 50.42676″ N
3379901668|Sisne||82.3532695|29.7561396|82° 21′ 11.77020″ E|29° 45′ 22.10256″ N
3390680290|Langtang Ri||85.6837887|28.3821284|85° 41′ 01.63932″ E|28° 22′ 55.66224″ N
3407128260|Jugal||85.8720059|28.1429688|85° 52′ 19.22124″ E|28° 08′ 34.68768″ N
3425952086|Yubra Himal|Ubra|85.5735866|28.2688317|85° 34′ 24.91176″ E|28° 16′ 07.79412″ N
3425970429|Kimshung||85.5538215|28.272896|85° 33′ 13.75740″ E|28° 16′ 22.42560″ N
3425977446|P.5710||85.5333835|28.1675861|85° 32′ 00.18060″ E|28° 10′ 03.30996″ N
3476013204|Gurung Hill Tower||83.7950945|28.2300333|83° 47′ 42.34020″ E|28° 13′ 48.11988″ N
3490608502|Dogpache|Dhagpahe,Yansa Tsenji|85.6061571|28.2562087|85° 36′ 22.16556″ E|28° 15′ 22.35132″ N
3490869705|Phulchoki||85.4067119|27.5710397|85° 24′ 24.16284″ E|27° 34′ 15.74292″ N
3495849771|Phurbi Chyachu|Phurbi Chachu|85.8674922|28.1260087|85° 52′ 02.97192″ E|28° 07′ 33.63132″ N
3496949863|Ganchempo|Ganchenpo|85.6785419|28.1693908|85° 40′ 42.75084″ E|28° 10′ 09.80688″ N
3496949867|P.5843||85.601071|28.1584812|85° 36′ 03.85560″ E|28° 09′ 30.53232″ N
3496949868|Naya Kanga||85.5483906|28.168624|85° 32′ 54.20616″ E|28° 10′ 07.04640″ N
3499802030|Kabilas||85.271043|27.8931695|85° 16′ 15.75480″ E|27° 53′ 35.41020″ N
3499821919|Surya Peak||85.4437567|28.0843821|85° 26′ 37.52412″ E|28° 05′ 03.77556″ N
3516611441|Upper Phulbari||83.6747765|28.3908823|83° 40′ 29.19540″ E|28° 23′ 27.17628″ N
3541334392|Sarpang Dhuri||83.5620209|28.6130963|83° 33′ 43.27524″ E|28° 36′ 47.14668″ N
3541336394|Top Ridge|Ruyachaur Dhuri|83.464146|28.614969|83° 27′ 50.92560″ E|28° 36′ 53.88840″ N
3544783599|Tsaurabong Peak||83.379961|28.6891711|83° 22′ 47.85960″ E|28° 41′ 21.01596″ N
3544783617|Dhaulagiri V||83.3605794|28.734057|83° 21′ 38.08584″ E|28° 44′ 02.60520″ N
3552319136|Khatung Kang||83.9182918|28.7777768|83° 55′ 05.85048″ E|28° 46′ 39.99648″ N
3552379174|Ter Himal||84.0510025|28.8443948|84° 03′ 03.60900″ E|28° 50′ 39.82128″ N
3578202969|Purpung Himal||84.0167986|28.8005973|84° 01′ 00.47496″ E|28° 48′ 02.15028″ N
3578217861|Khumjungar||84.1268825|28.8889917|84° 07′ 36.77700″ E|28° 53′ 20.37012″ N
3586337220|Nimjung||84.4177958|28.7363272|84° 25′ 04.06488″ E|28° 44′ 10.77792″ N
3586337247|Himlung||84.4217998|28.7723305|84° 25′ 18.47928″ E|28° 46′ 20.38980″ N
3586371584|Kangri Himal|Kanguru|84.3008854|28.6581554|84° 18′ 03.18744″ E|28° 39′ 29.35944″ N
3586373805|Chombi||84.3250314|28.6875131|84° 19′ 30.11304″ E|28° 41′ 15.04716″ N
3586738432|Glacier Dome|Tare Kang|83.9111582|28.6065958|83° 54′ 40.16952″ E|28° 36′ 23.74488″ N
3588472635|Chulu East||84.0521579|28.7251032|84° 03′ 07.76844″ E|28° 43′ 30.37152″ N
3588472636|Chulu Far East||84.0854451|28.7308275|84° 05′ 07.60236″ E|28° 43′ 50.97900″ N
3588472637|Jong Ri|Pisang Peak|84.1880793|28.6490051|84° 11′ 17.08548″ E|28° 38′ 56.41836″ N
3588473785|Annapurna II||84.1218222|28.5349707|84° 07′ 18.55992″ E|28° 32′ 05.89452″ N
3589375505|Purkung||83.9824071|28.8279631|83° 58′ 56.66556″ E|28° 49′ 40.66716″ N
3589375511|Sechi Lek||83.608705|28.8125564|83° 36′ 31.33800″ E|28° 48′ 45.20304″ N
3589375512|Syagang||83.9380875|28.7657801|83° 56′ 17.11500″ E|28° 45′ 56.80836″ N
3619467959|Chamar||84.9437234|28.5550852|84° 56′ 37.40424″ E|28° 33′ 18.30672″ N
3620710220|Ganesh III|Salasungo|85.120491|28.3363962|85° 07′ 13.76760″ E|28° 20′ 11.02632″ N
3620710221|Ganesh IV|Pabil|85.0795779|28.3452083|85° 04′ 46.48044″ E|28° 20′ 42.74988″ N
3633381719|Bharange|Paldor|85.1871278|28.2776048|85° 11′ 13.66008″ E|28° 16′ 39.37728″ N
3633381723|Ganesh V||85.1628264|28.3312446|85° 09′ 46.17504″ E|28° 19′ 52.48056″ N
3661955886|Malka Pahad||83.4381255|28.4442051|83° 26′ 17.25180″ E|28° 26′ 39.13836″ N
3667795245|Konabon Peak||83.3048561|28.6599965|83° 18′ 17.48196″ E|28° 39′ 35.98740″ N
3667795246|Myagumath||83.3211152|28.6618704|83° 19′ 16.01472″ E|28° 39′ 42.73344″ N
3667795248|Gurja Himal|Mount Gurja|83.275664|28.6741019|83° 16′ 32.39040″ E|28° 40′ 26.76684″ N
3667795249|Dhaulagiri VI||83.2731956|28.7083897|83° 16′ 23.50416″ E|28° 42′ 30.20292″ N
3667795253|Dhaulagiri IV||83.314379|28.7357489|83° 18′ 51.76440″ E|28° 44′ 08.69604″ N
3667795257|Dhaulagiri III||83.3771445|28.7540263|83° 22′ 37.72020″ E|28° 45′ 14.49468″ N
3667795258|Dhaulagiri II||83.3873786|28.7631589|83° 23′ 14.56296″ E|28° 45′ 47.37204″ N
3667795260|Mukut Himal||83.4607345|28.7797894|83° 27′ 38.64420″ E|28° 46′ 47.24184″ N
3669384729|Jirbang||83.4489443|28.6232544|83° 26′ 56.19948″ E|28° 37′ 23.71584″ N
3669384733|Manapati||83.4552101|28.6475065|83° 27′ 18.75636″ E|28° 38′ 51.02340″ N
3674846956|Chankhe Dada||87.2663572|27.1477302|87° 15′ 58.88592″ E|27° 08′ 51.82872″ N
3690065007|Dadar Dhuri||83.314017|28.5374073|83° 18′ 50.46120″ E|28° 32′ 14.66628″ N
3696097627|Hillary Peak||86.9142078|27.9605613|86° 54′ 51.14808″ E|27° 57′ 38.02068″ N
3696097628|Nuptse I||86.887081|27.9679586|86° 53′ 13.49160″ E|27° 58′ 04.65096″ N
3696097629|Nuptse II||86.8903249|27.9658595|86° 53′ 25.16964″ E|27° 57′ 57.09420″ N
3696097630|Nuptse Nup I||86.8849147|27.9692548|86° 53′ 05.69292″ E|27° 58′ 09.31728″ N
3696097631|Nuptse Nup II||86.8820341|27.9695763|86° 52′ 55.32276″ E|27° 58′ 10.47468″ N
3696097632|Nuptse Shar I||86.8942463|27.9629984|86° 53′ 39.28668″ E|27° 57′ 46.79424″ N
3696097633|Nuptse Shar II||86.8957145|27.9625362|86° 53′ 44.57220″ E|27° 57′ 45.13032″ N
3696097634|Nuptse Shar III||86.8985403|27.9613655|86° 53′ 54.74508″ E|27° 57′ 40.91580″ N
3702122706|Hiuchuli||82.616897|28.8280843|82° 37′ 00.82920″ E|28° 49′ 41.10348″ N
3703754635|Danpeshail||83.0083371|29.6720812|83° 00′ 30.01356″ E|29° 40′ 19.49232″ N
3761207074|Colangma||86.2858861|28.316462|86° 17′ 09.18996″ E|28° 18′ 59.26320″ N
3761207075|Labuche Kang I|Lobuche Kang I,Lapche Kang I,Choksiam|86.3511931|28.3044064|86° 21′ 04.29516″ E|28° 18′ 15.86304″ N
3761207076|Labuche Kang II|Lapche Kang II,Lobuche Kang II,Choksiam II|86.3220117|28.3046025|86° 19′ 19.24212″ E|28° 18′ 16.56900″ N
3761207077|Lapche Kang III West||86.3757696|28.307943|86° 22′ 32.77056″ E|28° 18′ 28.59480″ N
3761207078|Lapche Kang III East|Lapche Kang III|86.3845306|28.3019881|86° 23′ 04.31016″ E|28° 18′ 07.15716″ N
3921968383|Jugja Pahad||83.2934302|28.4711269|83° 17′ 36.34872″ E|28° 28′ 16.05684″ N
3923746313|Hiunchuli||82.7780545|29.3686508|82° 46′ 40.99620″ E|29° 22′ 07.14288″ N
3923927028|Kande Hiuchuli||82.5601656|29.4119774|82° 33′ 36.59616″ E|29° 24′ 43.11864″ N
3923927030|Copper Mountain||82.8717641|29.4155751|82° 52′ 18.35076″ E|29° 24′ 56.07036″ N
3925094121|Chanmar Lek||83.361154|29.2355166|83° 21′ 40.15440″ E|29° 14′ 07.85976″ N
3925094125|Kirphuk Lek||83.3270134|29.2397652|83° 19′ 37.24824″ E|29° 14′ 23.15472″ N
3928820761|Kanjeralwa||82.7897262|29.2371829|82° 47′ 23.01432″ E|29° 14′ 13.85844″ N
3928820763|Paltathumba||82.5886414|29.3012076|82° 35′ 19.10904″ E|29° 18′ 04.34736″ N
3959225057|Chhote Kang||81.6873279|29.9491523|81° 41′ 14.38044″ E|29° 56′ 56.94828″ N
3964893563|Bobaye||81.0195732|29.9574701|81° 01′ 10.46352″ E|29° 57′ 26.89236″ N
4011190127|Zhengjiang Gangri|Zhaijang Kangri|87.911662|28.7010582|87° 54′ 41.98320″ E|28° 42′ 03.80952″ N
4079548654|Juemusang Zhuma|Qomosam Zhubma|86.8122881|28.0912615|86° 48′ 44.23716″ E|28° 05′ 28.54140″ N
4079817699|Pasang Lhamu Chuli|Nangpai Gosum|86.6124231|28.0729512|86° 36′ 44.72316″ E|28° 04′ 22.62432″ N
4079817701|Siguang Ri||86.684561|28.1478873|86° 41′ 04.41960″ E|28° 08′ 52.39428″ N
4085224089|Yangra Kangri|Yangra,Ganesh I|85.1294745|28.3912625|85° 07′ 46.10820″ E|28° 23′ 28.54500″ N
4239681885|Kyashar||86.8223253|27.7548759|86° 49′ 20.37108″ E|27° 45′ 17.55324″ N
4526922890|Tsoboje||86.5089226|27.8745166|86° 30′ 32.12136″ E|27° 52′ 28.25976″ N
4537877590|Arralang|Arrlungtsuk|88.227731|27.463323|88° 13′ 39.83160″ E|27° 27′ 47.96280″ N
4537877591|Patibhara|Pyramid Peak|88.173003|27.8205864|88° 10′ 22.81080″ E|27° 49′ 14.11104″ N
4537877593|Kirat Chuli|Tent Peak|88.1971372|27.7914626|88° 11′ 49.69392″ E|27° 47′ 29.26536″ N
4537877594|Kabru||88.1176541|27.6250704|88° 07′ 03.55476″ E|27° 37′ 30.25344″ N
4537877595|Jhopunu|Jopuno,Jhopuno|88.2229047|27.527452|88° 13′ 22.45692″ E|27° 31′ 38.82720″ N
4543165504|Kanshurm||85.7411041|28.1713833|85° 44′ 27.97476″ E|28° 10′ 16.97988″ N
4543165506|Madiya Peak||85.8174868|28.1755506|85° 49′ 02.95248″ E|28° 10′ 31.98216″ N
4543165508|Gyaltsen||85.8384328|28.1836027|85° 50′ 18.35808″ E|28° 11′ 00.96972″ N
4543165509|Ladies Peak|Gumba Chuli|85.8194345|28.1916765|85° 49′ 09.96420″ E|28° 11′ 30.03540″ N
4543165510|Bhairav Takura||85.8154043|28.2026032|85° 48′ 55.45548″ E|28° 12′ 09.37152″ N
4543165511|Big White Peak|Leonpo Gang,Loenpo Gang|85.8001908|28.1964383|85° 48′ 00.68688″ E|28° 11′ 47.17788″ N
4543165512|Gur Karpo Ri|Gurkarpo Ri|85.7736263|28.2117364|85° 46′ 25.05468″ E|28° 12′ 42.25104″ N
4543165513|Dome Blanc|Ramthang Karpo Ri,Pemthang Karpo Ri|85.7482438|28.2492806|85° 44′ 53.67768″ E|28° 14′ 57.41016″ N
4543165514|Pemthang Ri||85.736021|28.2992576|85° 44′ 09.67560″ E|28° 17′ 57.32736″ N
4543165516|Kyunga Ri 1||85.6677275|28.2968281|85° 40′ 03.81900″ E|28° 17′ 48.58116″ N
4548383665|Drosakhang|Tembalthang|85.6413492|28.1443513|85° 38′ 28.85712″ E|28° 08′ 39.66468″ N
4548479310|Triangle||85.7414742|28.2724873|85° 44′ 29.30712″ E|28° 16′ 20.95428″ N
4548479311|Goldum||85.7319362|28.3252371|85° 43′ 54.97032″ E|28° 19′ 30.85356″ N
4548479315|Chusumdo Ri|Chumsundo|85.6593721|28.3525254|85° 39′ 33.73956″ E|28° 21′ 09.09144″ N
4548479318|Kyunga Ri 2||85.6627648|28.3027052|85° 39′ 45.95328″ E|28° 18′ 09.73872″ N
4548479321|Shalbachum||85.6311335|28.2710295|85° 37′ 52.08060″ E|28° 16′ 15.70620″ N
4549146537|Ladies Peak||85.8584328|28.1585128|85° 51′ 30.35808″ E|28° 09′ 30.64608″ N
4549896892|Urkinmag||85.7126984|28.1685545|85° 42′ 45.71424″ E|28° 10′ 06.79620″ N
4549896900|Lansisa Ri|Langshisa Ri|85.714613|28.2177782|85° 42′ 52.60680″ E|28° 13′ 04.00152″ N
