peak_id|peak_name|alt_names|height|location|approximate_coordinates|longitude|latitude|dms_longitude|dms_latitude|coordinate_notes|himal
RANI|Rani Peak|Himalchuli Northeast,Lidanda Peak,Himalchuli East,Rani Himal|6693|Mansiri Himal (SE of Manaslu, NE of Himalchuli Main)|N|81.5124957|29.9165574|81° 30′ 44.98452″ E|29° 54′ 59.60664″ N|"OSM: (29° 54′ 59.60664″ N, 81° 30′ 44.98452″ E)
MoTCA: (28° 26′ 13.00000″ N, 84° 38′ 29.00000″ E)"|SAIPAL
HIMW|Himalchuli West||7540|Mansiri Himal (SE of Manaslu, W of Himalchuli Main)|Y|84.6188889|28.4355556|84° 37′ 08.00000″ E|28° 26′ 08.00000″ N|MoTCA: (28° 26′ 08.00000″ N, 84° 37′ 08.00000″ E)|MANASLU
HIUP|Hiunchuli|Hiun Chuli,Patal Hiunchuli|6434|Annapurna Himal (E of Annapurna South)|N|83.85|28.51|83° 51′ 00.00000″ E|28° 30′ 36.00000″ N|"OSM: (28° 30′ 36.00000″ N, 83° 51′ 00.00000″ E)
MoTCA: (28° 30′ 37.00000″ N, 83° 51′ 07.00000″ E)"|ANNAPURNA
HNKU|Hongku Chuli|Patibhara,Hunku Chuli,Pyramid Peak|6833|Khumbu Himal (in Hongku Valley, NE of Chamlang)|N|88.173003|27.8205864|88° 10′ 22.81080″ E|27° 49′ 14.11104″ N|"OSM: (27° 49′ 14.11104″ N, 88° 10′ 22.81080″ E)
MoTCA: (27° 49′ 03.00000″ N, 87° 00′ 43.00000″ E)"|NORTHERN
HONG|Hongde|Hongde Himal,Hangde|6556|Mukut Himal (N of Sita Chuchura in Hidden Valley)|N|83.4967752|28.843187|83° 29′ 48.39072″ E|28° 50′ 35.47320″ N|"OSM: (28° 50′ 35.47320″ N, 83° 29′ 48.39072″ E)
MoTCA: (28° 50′ 35.00000″ N, 83° 29′ 57.00000″ E)"|DHAULAGIRI
IMJA|Imjatse|Island Peak,Imja Tse|6165|Khumbu Himal (S of Lhotse)|N|86.9346925|27.9200801|86° 56′ 04.89300″ E|27° 55′ 12.28836″ N|"OSM: (27° 55′ 12.28836″ N, 86° 56′ 04.89300″ E)
MoTCA: (27° 55′ 14.00000″ N, 86° 56′ 16.00000″ E)"|KHUMBU
JAGD|Jagdula|Jagdula Peak|5761|Jagdula Lekh (S of Kande Hiunchuli)|Y|82.5919444|29.3269444|82° 35′ 31.00000″ E|29° 19′ 37.00000″ N|MoTCA: (29° 19′ 37.00000″ N, 82° 35′ 31.00000″ E)|KANJIROBA
JANU|Jannu|Kumbhakarna,Khumbhakarna|7711|Kangchenjunga Himal (W of Kangchenjunga)|Y|88.0463889|27.6822222|88° 02′ 47.00000″ E|27° 40′ 56.00000″ N|MoTCA: (27° 40′ 56.00000″ N, 88° 02′ 47.00000″ E)|KUMBHAKARNA
JETH|Jethi Bahurani|Jettiborani,Jutibofurani|6850|Api Himal (S of Nampa and Bobaye)|N|81.0393354|29.8806741|81° 02′ 21.60744″ E|29° 52′ 50.42676″ N|"OSM: (29° 52′ 50.42676″ N, 81° 02′ 21.60744″ E)
MoTCA: (29° 52′ 54.00000″ N, 81° 02′ 33.00000″ E)"|YOKAPAHAR
JONG|Jongsang|Jonsong,Jongsong Peak,Jongsang Peak,Jhinsang,Jongsang Ri|7462|Jongsang Himal (on Indian-Tibetan border)|N|88.1349737|27.8815971|88° 08′ 05.90532″ E|27° 52′ 53.74956″ N|"OSM: (27° 52′ 53.74956″ N, 88° 08′ 05.90532″ E)
MoTCA: (27° 52′ 52.00000″ N, 88° 08′ 17.00000″ E)"|JANAK
JUNC|Junction Peak||7133|Dhaulagiri Himal (on ridge joining Dhaulagiri VI, IV and Churen)|||||||DHAULAGIRI
KABD|Kabru Dome|Kabru|6600|Simhalila Himal (SE of Kabru in India)|Y|88.1136111|27.6080556|88° 06′ 49.00000″ E|27° 36′ 29.00000″ N|MoTCA: (27° 36′ 29.00000″ N, 88° 06′ 49.00000″ E)|SINGALILA
KABN|Kabru North|Kabru|7338|Simhalila Himal (S of Kabru Main on Indian border)|N|88.1176541|27.6250704|88° 07′ 03.55476″ E|27° 37′ 30.25344″ N|"OSM: (27° 37′ 30.25344″ N, 88° 07′ 03.55476″ E)
MoTCA: (27° 36′ 29.00000″ N, 88° 06′ 49.00000″ E)"|SINGALILA
KAG1|Kagmara I|Kagmara|5978|Kagmara Lekh (S of Kanjiroba Himal)|Y|82.7613889|29.1377778|82° 45′ 41.00000″ E|29° 08′ 16.00000″ N|MoTCA: (29° 08′ 16.00000″ N, 82° 45′ 41.00000″ E)|KANJIROBA
