peak_number|peak_name|alt_names|himal|region|height|longitude|latitude|dms_longitude|dms_latitude|caravan_route
59|Chulu West||Damodar|Manang|6419|84.025|28.7433333|84° 01′ 30.00000″ E|28° 44′ 36.00000″ N|Besisahar-Chame-Manang-Ledari-BC
60|Chumbu||Mahalangur|Solukhumbu|6859|86.7925|28.0188889|86° 47′ 33.00000″ E|28° 01′ 08.00000″ N|Lukla-Namche-Lobuche-BC
61|Churen||Dhaulagiri|Myagdi/Dolpa|7371|83.2122222|28.7322222|83° 12′ 44.00000″ E|28° 43′ 56.00000″ N|Beni-Darbang-Budzunge Kharka-Gurja-BC/Jufal-Tarakot-Kakotgaun-BC
62|Danfe Shail||Kanjirowa|Dolpa/NC|6103|83.0102778|29.6725|83° 00′ 37.00000″ E|29° 40′ 21.00000″ N|Jufal-Phoksundo Tal-Shey Gompa-Bhijer-Kuwa Gaon-Jhyanglun Khola-BC
63|Danga||Kanchanjunga|Taplejung|6220|87.9786111|27.8169444|87° 58′ 43.00000″ E|27° 49′ 01.00000″ N|Taplejung-Thapethok-Ghunsa-Kambachen-Lonak-BC
64|Dazaney I|Dzanaye Peak|Kanchanjunga|Taplejung/NC|6581|88.0308333|27.9055556|88° 01′ 51.00000″ E|27° 54′ 20.00000″ N|Taplejung-Lonak-Lonak Glacier-BC
65|Dhagpache|Yansa Tsenji|Langtang|Rasuwa/NC|6567|85.6083333|28.2563889|85° 36′ 30.00000″ E|28° 15′ 23.00000″ N|Dhunche-Langtang-Kayanjging-BC
66|Dhaulagari||Saipal|Bhajang|6638|81.1213889|29.95|81° 07′ 17.00000″ E|29° 57′ 00.00000″ N|Dhulli-Dalachaour-Garanphu-BC
67|Dhaulagiri I||Dhaulagiri|Myagdi|8167|83.495|28.6966667|83° 29′ 42.00000″ E|28° 41′ 48.00000″ N|Beni-Marpha-BC/Beni-Darbang-Mudi-BC
68|Dhaulagiri II||Dhaulagiri|Dolpa/Myagdi|7751|83.3905556|28.7630556|83° 23′ 26.00000″ E|28° 45′ 47.00000″ N|Beni-Darbang-Mudi-BC
69|Dhaulagiri III||Dhaulagiri|Dolpa/Myagdi|7715|83.3794444|28.7538889|83° 22′ 46.00000″ E|28° 45′ 14.00000″ N|Beni-Darbang-Mudi-BC
70|Dhaulagiri IV||Dhaulagiri|Dolpa/Myagdi|7661|83.3169444|28.7358333|83° 19′ 01.00000″ E|28° 44′ 09.00000″ N|Beni-Darbang-Mudi-BC
71|Dhaulagiri V||Dhaulagiri|Dolpa/Myagdi|7618|83.3638889|28.7338889|83° 21′ 50.00000″ E|28° 44′ 02.00000″ N|Beni-Darbang-Mudi-BC
72|Dhaulagiri VI||Dhaulagiri|Myagdi|7268|83.2758333|28.7083333|83° 16′ 33.00000″ E|28° 42′ 30.00000″ N|Beni-Darbang-Mudi-BC
73|Dhechyan Khang||Damodar|Mustang/NC|6019|84.2519444|29.0358333|84° 15′ 07.00000″ E|29° 02′ 09.00000″ N|Jomsom-Lomanthang-Damodar Kunda-BC
74|Dingjung North||Gaurishankar|Solukhumbu/NC|6249|86.5169444|27.9877778|86° 31′ 01.00000″ E|27° 59′ 16.00000″ N|Ktm-Charikot-Simi Gaon-Beding-BC or via Lama Bagar
75|Dingjung Ri||Mahalangur|Solukhumbu/NC|6196|86.5227778|27.9744444|86° 31′ 22.00000″ E|27° 58′ 28.00000″ N|Charikot-Simi Gaon-Beding-BC or Via Lama Bagar
76|Dogari Himal||Dhaulagiri|Rukum/Dolpa|6536|83.1002778|28.7666667|83° 06′ 01.00000″ E|28° 46′ 00.00000″ N|Jufal-Tarakor-BC
77|Dolma Khang||Rolwaling|Dolakha/NC|6332|86.3502778|27.9372222|86° 21′ 01.00000″ E|27° 56′ 14.00000″ N|Charikot-Simigaon-Beding-BC
78|Dome Khang||Kanchanjunga|Taplejung/NI|7264|88.15|27.8766667|88° 09′ 00.00000″ E|27° 52′ 36.00000″ N|Taplejung-Ghunsa-Pangpema-BC
79|Dorje Lyakpa||Jugal|Rasuwa/Sindhupalchowk|6966|85.7811111|28.1738889|85° 46′ 52.00000″ E|28° 10′ 26.00000″ N|Syabrubesi-Langtang Kyangjing-Langshisha Kharka-BC/or Panch Pokhari-BC
80|Dr. Harka Gurung Chuli|Ngadi Chuli,Peak 29,Dakura|Mansiri|Manang/Gorkha|7871|84.5686111|28.5033333|84° 34′ 07.00000″ E|28° 30′ 12.00000″ N|Arughat-Jagat-Namru-BC
81|Drohmo||Kanchenjunga|Taplejung|6881|88.105|27.8238889|88° 06′ 18.00000″ E|27° 49′ 26.00000″ N|Taplejung-Ghunsa-Pangpema-BC
82|Dudh Kundali||Kanjiroba|Jumla/Dolpa|6045|82.5455556|29.2238889|82° 32′ 44.00000″ E|29° 13′ 26.00000″ N|Jumla-Gotichaur-Hurikot-Jagdul-BC
83|Dwijen Himal||Sringi|Gorkha/NC|6169|84.9033333|28.5933333|84° 54′ 12.00000″ E|28° 35′ 36.00000″ N|Arughat-Jagat-Bigh Gaon-Sherang Gomba-BC
84|Dzanye II||Kanchenjunga|Taplejung/NC|6318|88.0411111|27.9022222|88° 02′ 28.00000″ E|27° 54′ 08.00000″ N|Taplejung-Ghunsa-Lhonak-Pangpema-BC
85|Ek Rate Dada||Makalu|Solukhumbu/Shankhuwasava|6213|87.005|27.7088889|87° 00′ 18.00000″ E|27° 42′ 32.00000″ N|Phaplu-Budhidanda-Bung-Chheskam-Kako Pokhari-Honku Khola-BC or Lukla-Mera-La-BC
86|Firnkof East||Saipal|Humla/Bajhang|6730|81.4572222|29.9013889|81° 27′ 26.00000″ E|29° 54′ 05.00000″ N|Bajhang-Dulu-BC
87|Firnkof West||Saipal|Bajhang|6745|81.4469444|29.8980556|81° 26′ 49.00000″ E|29° 53′ 53.00000″ N|Bajhang-Dulu-BC
88|Friendship Peak||Mahalangur|Solukhumbu/NC|6592|86.605|28.1013889|86° 36′ 18.00000″ E|28° 06′ 05.00000″ N|Lukla-Namche-Thame-Chule-Lunak-BC
89|Ganchenpo||Jugal|Rasuwa|6378|85.6811111|28.1688889|85° 40′ 52.00000″ E|28° 10′ 08.00000″ N|Dhunche-Syabrubesi-Langtang-Kyangjing-Langshisha Kharka-BC
90|Gandharva Chuli||Annapurna|Kaski|6248|83.9622222|28.5383333|83° 57′ 44.00000″ E|28° 32′ 18.00000″ N|Chomorong-Deurali-MBC-BC
91|Ganesh I|Yangra|Ganesh|Gorkha/NC|7422|85.1288889|28.3916667|85° 07′ 44.00000″ E|28° 23′ 30.00000″ N|Macha Khola-Jagat-Ripchet-Kharka andpossibly Torogumba Kharka-Respectivelybefore-finally arriving at Genesh Himal-BC
92|Ganesh II||Ganesh|Gorkha|7118|85.0591667|28.3788889|85° 03′ 33.00000″ E|28° 22′ 44.00000″ N|Arughat-Jagat-Tsum-Domje-BC
93|Ganesh III|Salasungo|Ganesh|Dhading/NC|7043|85.1247222|28.3352778|85° 07′ 29.00000″ E|28° 20′ 07.00000″ N|Syabrubesi-Tambuchet-Tatopani-Bhrange Khola-Sanjun Kharka-BC
94|Ganesh IV|Pabil|Ganesh|Gorkha/Dhading|7104|85.0822222|28.3455556|85° 04′ 56.00000″ E|28° 20′ 44.00000″ N|Arughat-Jagat-Tsum-Domje-BC
95|Ganesh V||Ganesh|Dhading/Rasuwa/NC|6770|85.1608333|28.3319444|85° 09′ 39.00000″ E|28° 19′ 55.00000″ N|Syabrubesi-Chilime-Tatopani-Chharahekharka-C
96|Ganesh VI||Ganesh|Gorkha|6908|85.0638889|28.3711111|85° 03′ 50.00000″ E|28° 22′ 16.00000″ N|Syabrubesi-Tambuchet-Tatopani-Bhirange Khola-Sanjun Kharka-BC
97|Gangapurna||Annapurna|Kaski/Manang|7455|83.9658333|28.6052778|83° 57′ 57.00000″ E|28° 36′ 19.00000″ N|Besisahar-Chame-Manang-BC
98|Gangapurna West|Lachenel|Annapurna|Manang/Kaski|7140|83.9438889|28.6011111|83° 56′ 38.00000″ E|28° 36′ 04.00000″ N|Chame-Manang-BC/Pokhara-Chumrung-MBC-BC
99|Gaugiri||Damodar|Mustang/NC|6110|84.19|29.0452778|84° 11′ 24.00000″ E|29° 02′ 43.00000″ N|Jomsom-Lomangthang-BC
100|Gauri||Rolwaling|Dolakha/NC|6983|86.3502778|27.9372222|86° 21′ 01.00000″ E|27° 56′ 14.00000″ N|Charikot-Simigaon-Beding-BC
101|Gauri Shanker||Rolwaling|Dolakha/NC|7135|86.3377778|27.965|86° 20′ 16.00000″ E|27° 57′ 54.00000″ N|Dolakha-Charikot-Simigaon-Beding-BC/Lamabagar-Lapche-BC
102|Ghanja La Chuli|Naya Kanga|Langtang|Rasuwa/Sindhupalchowk|5863|85.5513889|28.1683333|85° 33′ 05.00000″ E|28° 10′ 06.00000″ N|Dhunche-Syabrubeshi-Kyanjin-BC
103|Ghanyala Hies||Kanchenjunga|Taplejung/NC|6744|88.0827778|27.8955556|88° 04′ 58.00000″ E|27° 53′ 44.00000″ N|Taplejung-Ghunsa-Lonak-Tshima Glacier-BC
104|Ghenye Liru||Langtang|Rasuwa|6596|85.4738889|28.2480556|85° 28′ 26.00000″ E|28° 14′ 53.00000″ N|Dhunche-Syabrubesi-Timure-BC
105|Ghustung North||Dhaulagiri|Myagdi|6529|83.2472222|28.6805556|83° 14′ 50.00000″ E|28° 40′ 50.00000″ N|Beni-Darbang-Gurja Gaon-BC
106|Ghustung South||Dhaulagiri|Myagdi|6465|83.2461111|28.6722222|83° 14′ 46.00000″ E|28° 40′ 20.00000″ N|Beni-Darbang-Gurja Gaon-BC
107|Ghyun Himal I||Damodar|Mustang/NC|6099|83.7819444|29.2441667|83° 46′ 55.00000″ E|29° 14′ 39.00000″ N|Pokhara-Jomsom-Lomanthang-BC
108|Gimigela Chuli|Twins|Kanchenjunga|Taplejung/NI|7350|88.1611111|27.7405556|88° 09′ 40.00000″ E|27° 44′ 26.00000″ N|Taplejung-Ghunsa-Lonak-Pangpema-BC
109|Gorakh Himal||Gorakh|Humla/NC|6198|82.2330556|30.065|82° 13′ 59.00000″ E|30° 03′ 54.00000″ N|Nepalgunj-Simikot-Chuwa Khola-Darma-Nepka-Take Khola-Bholbihanchaur-BC
110|Gorakh Khang||Gorakh Himal|Humla/NC|6254|82.3375|30.0441667|82° 20′ 15.00000″ E|30° 02′ 39.00000″ N|Jumla-Gamgadi-Darma-Yachu-Dojan-BC
111|Guras||Guras|Bajhang/NC|6744|81.1088889|30.0430556|81° 06′ 32.00000″ E|30° 02′ 35.00000″ N|Darchula-Changru-Tinkar River-BC
112|Gurja Himal||Dahaulagiri|Myagdi|7193|83.2777778|28.6738889|83° 16′ 40.00000″ E|28° 40′ 26.00000″ N|Beni-Darbang-Dharaapani-Budzang Kharka-BC
113|Gurkarpo Ri||Jugal|Rasuwa/NC|6889|85.7772222|28.2097222|85° 46′ 38.00000″ E|28° 12′ 35.00000″ N|Syabrubesi-Langtang-Kyangjing-Langshisha Kharka-Morimoto-BC
114|Gyachung Khang||Khumbu|Solukhumbu/NC|7952|86.7508333|28.0944444|86° 45′ 03.00000″ E|28° 05′ 40.00000″ N|Lukla-Namche-Khumjung-Gokyo-BC
115|Gyaji Khang||Peri|Manang|7074|84.3741667|28.7330556|84° 22′ 27.00000″ E|28° 43′ 59.00000″ N|Besisahar-Dharapani-Koto-Meta-Kyang-Phu-BC
116|Gyala||Gyala|Gorkha|6363|84.5588889|28.7519444|84° 33′ 32.00000″ E|28° 45′ 07.00000″ N|Arughat-Jagat-Namru-Lho-Samagaon-Samdo-Larkey-BC
117|Gyalzen Peak||Jugal|Sindhupalchok/NC|6151|85.8416667|28.1838889|85° 50′ 30.00000″ E|28° 11′ 02.00000″ N|Barabishe-Chako-Listimai-Bagan-Bahirav Kunda-BC
118|Hillary Peak||Mahalangur|Solukhumbu/NC|7681|86.7161111|28.1066667|86° 42′ 58.00000″ E|28° 06′ 24.00000″ N|Lukla-Namche-Gokyo-BC
119|Himalchuli East||Mansiri|Lamjung/Gorkha|7893|84.6413889|28.4369444|84° 38′ 29.00000″ E|28° 26′ 13.00000″ N|Gorka-Barpak-Rupina la-Chhilung KholaBC/Arughat-Nyak-BC/Besisahar-Nagdi-Mimi Pokhari-BC
120|Himalchuli North||Mansiri|Lamjung/Gorkha|7331|84.6063889|28.4491667|84° 36′ 23.00000″ E|28° 26′ 57.00000″ N|Besisahar-Nagdi-Mimi-Pokhari-BC/Arughat-NNyak-BC/Bahundanda-Naiche-Tabang-BC
121|Himalchuli West||Mansiri|Lamjung|7540|84.6188889|28.4355556|84° 37′ 08.00000″ E|28° 26′ 08.00000″ N|Besisahar-Ngadi-Mimi Pokhari-BC/Bahundanda-Naiche-Tabang-BC
122|Himjung|Nemjung Goth|Peri|Manang|7092|84.4197222|28.7363889|84° 25′ 11.00000″ E|28° 44′ 11.00000″ N|Besisahar-Ceme-Nar Phu-BC
123|Himlung East||Peri|Manang/NC|6932|84.4388889|28.7691667|84° 26′ 20.00000″ E|28° 46′ 09.00000″ N|Ktm-Besisahar-Dharapani-Larkye Pass-Pambari BC
124|Himlung Himal||Peri|Manang|7126|84.4247222|28.7716667|84° 25′ 29.00000″ E|28° 46′ 18.00000″ N|Besisahar-Dharapani-Kodo-Meta-Kyang-Phu-BC
125|Hiun Chuli||Annapurna|Kaski|6434|83.8519444|28.5102778|83° 51′ 07.00000″ E|28° 30′ 37.00000″ N|Chomrong-Deurali-BC/ABC-BC
126|Hongde||Damodar|Dolpa/Mustang|6556|83.4991667|28.8430556|83° 29′ 57.00000″ E|28° 50′ 35.00000″ N|Beni-Marpha-Thapa pass-BC/Beni-Dovan-Dhaulagiri-BC
127|Hongu|Sura Peak|Mahalangur/Makalu|Solukhumbu/Sankhuwasabha|6764|86.9794444|27.8255556|86° 58′ 46.00000″ E|27° 49′ 32.00000″ N|Lukla-Merala--Seto Pokhari-BC/Lukla-Namche-Amphulapcha-BC
128|Hulang Go||Peri|Manang/NC|6687|84.3455556|28.8727778|84° 20′ 44.00000″ E|28° 52′ 22.00000″ N|Besisahar-Chame-Nar-Phu-BC
129|Hunchhi||Mahalangur|Solukhumbu/NC|7029|86.7611111|28.0347222|86° 45′ 40.00000″ E|28° 02′ 05.00000″ N|Lukla-Namche-Khumjung-Gokyo-BC
130|Hunku Chuli||Mahalangur|Solukhumbu/Sankhuwasabha|6833|87.0119444|27.8175|87° 00′ 43.00000″ E|27° 49′ 03.00000″ N|Lukla-Mera La-Seto Pokhari-BC/Lukla-Namche-Amphulapaha-BC
131|Imja Tse|Island Peak|Khumbu|Solukhumbu|6165|86.9377778|27.9205556|86° 56′ 16.00000″ E|27° 55′ 14.00000″ N|Lukla-Namche-Khumjung-Dinboche-Chukung-BC
132|Jabou Ri||Rolwaling|Dolakha|6166|86.5152778|27.8538889|86° 30′ 55.00000″ E|27° 51′ 14.00000″ N|Charikot-Simigaun-Beding-Na-Tolumbau Glacier-BC
133|Jagdula Peak||Jagdula|Dolpa/Jumla|5761|82.5919444|29.3269444|82° 35′ 31.00000″ E|29° 19′ 37.00000″ N|Jumla-Chaudabise Khola-BC/Juphal-Hurrikot-Jagdul-BC
134|Janak Chuli||Kanchenjunga|Taplejung/NC|7041|88.0933333|27.8716667|88° 05′ 36.00000″ E|27° 52′ 18.00000″ N|Taplejung-Ghunsa-Khambachen-Lonak-Bc
135|Jarkya Peak||Peri|Gorkha/NC|6473|84.5269444|28.7419444|84° 31′ 37.00000″ E|28° 44′ 31.00000″ N|Arughat-Namru-Samagaon-Samdo-Fukang Glacier-BC
136|Jasemba Go||Mahalangur|Solukhumbu/NC|6734|86.605|28.0872222|86° 36′ 18.00000″ E|28° 05′ 14.00000″ N|Lukla-Namche-Thame-Chule-Lunak-BC
137|Jethi Bahurani||Gurans|Darchula/Bajang|6850|81.0425|29.8816667|81° 02′ 33.00000″ E|29° 52′ 54.00000″ N|Baitadi-Dhaoulechaur-BC
